GEN,AGS,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,current,current_time
Hersfeld-Rotenburg,6632,0,0,0,0,0,0,0,0,0,6,6,6,12,12,15,17,20,29,30,31,33,33,36,39,44,53,54,58,64,76,99,120,124,127,136,140,142,151,09/04/2020 16:00
Kassel,6633,0,0,0,0,0,0,1,1,2,3,5,11,12,12,18,27,32,38,39,44,44,46,51,61,74,77,81,82,87,95,100,106,112,114,118,120,142,153,09/04/2020 0:00
Schwalm-Eder-Kreis,6634,0,0,0,0,0,0,0,0,0,1,6,17,25,26,34,54,62,66,71,71,77,82,89,109,131,149,162,162,162,183,212,241,264,275,282,293,313,325,09/04/2020 0:00
Waldeck-Frankenberg,6635,0,0,0,0,0,0,1,1,3,4,4,5,8,8,8,18,21,25,28,28,28,34,36,42,47,55,55,61,61,66,79,80,86,90,94,94,102,103,09/04/2020 20:23
Werra-Meißner-Kreis,6636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5,5,9,13,14,14,21,21,22,22,24,26,28,29,30,31,34,47,58,09/04/2020 0:00
Koblenz,7111,0,0,0,0,1,3,5,5,5,6,8,8,8,21,27,36,42,51,60,67,75,95,109,122,127,138,141,141,148,155,157,164,167,167,177,190,201,201,08/04/2020 13:05
Ahrweiler,7131,0,0,0,0,0,0,0,0,0,0,3,3,3,14,17,18,24,31,37,44,48,51,56,58,61,63,68,70,71,74,82,83,91,95,99,101,103,103,08/04/2020 16:45
Altenkirchen (Westerwald),7132,0,0,0,0,0,0,0,0,0,0,1,1,2,3,8,11,13,13,17,17,17,25,31,35,39,39,50,53,53,57,59,62,62,66,71,72,74,74,08/04/2020 0:00
Bad Kreuznach,7133,0,0,0,0,0,0,0,0,1,1,1,13,13,23,23,25,30,42,44,46,53,57,64,72,77,90,92,98,108,114,123,127,137,137,137,140,144,144,08/04/2020 14:30
Birkenfeld,7134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,15,17,17,19,20,25,31,33,34,34,36,38,45,49,51,53,53,57,57,57,08/04/2020 20:00
Cochem-Zell,7135,0,0,0,0,0,0,0,0,0,0,5,5,6,19,25,35,38,43,45,45,59,62,73,80,87,99,100,100,108,112,115,117,117,117,119,122,122,122,08/04/2020 16:31
Mayen-Koblenz,7137,0,0,2,2,2,2,2,4,4,4,7,11,13,46,62,90,102,108,120,126,151,159,165,176,178,190,196,201,212,224,234,245,249,250,259,276,283,283,08/04/2020 13:06
Neuwied,7138,0,0,0,0,0,1,1,1,2,2,8,10,10,14,36,36,52,61,61,73,87,91,107,112,123,123,123,145,145,145,153,155,156,161,161,175,184,184,08/04/2020 0:00
Rhein-Hunsrück-Kreis,7140,0,0,0,0,0,0,0,0,1,4,6,7,14,26,28,33,39,46,46,47,55,64,68,72,79,89,100,102,106,109,114,116,118,124,124,128,131,131,08/04/2020 16:15
Rhein-Lahn-Kreis,7141,0,0,0,0,0,0,0,0,0,4,5,6,6,7,15,26,27,33,34,37,48,50,54,64,70,80,81,82,90,90,100,107,111,115,118,121,122,122,08/04/2020 8:00
Westerwaldkreis,7143,0,0,0,0,0,0,0,0,0,1,2,5,5,36,53,54,54,78,83,88,99,103,106,115,130,137,142,147,160,178,184,191,198,204,227,245,261,261,08/04/2020 18:45
Trier,7211,0,0,0,0,0,0,0,0,0,0,3,3,6,7,10,10,12,13,14,16,20,26,26,29,34,47,47,57,59,63,69,69,71,73,73,81,82,82,08/04/2020 8:00
Bernkastel-Wittlich,7231,0,0,0,0,0,0,0,0,1,3,3,4,4,6,7,9,16,18,21,23,24,31,32,38,45,49,56,62,67,67,74,78,80,85,87,94,98,98,08/04/2020 0:00
Eifelkreis Bitburg-Prüm,7232,0,0,0,0,0,1,1,1,1,1,4,6,12,16,21,21,29,32,39,44,48,56,61,62,78,88,91,96,97,112,114,117,118,121,124,128,129,129,08/04/2020 16:25
Vulkaneifel,7233,0,0,0,0,0,0,0,0,2,3,3,3,3,10,11,17,20,28,28,29,30,31,32,35,39,39,48,51,52,59,64,82,82,83,86,86,89,89,08/04/2020 17:15
Trier-Saarburg,7235,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,15,19,20,28,31,33,39,40,45,49,57,57,76,82,88,92,93,102,105,111,121,127,127,08/04/2020 8:00
Frankenthal (Pfalz),7311,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,8,9,11,11,11,12,12,16,18,18,18,23,23,25,25,27,27,27,28,28,31,31,08/04/2020 15:55
Kaiserslautern,7312,3,3,3,4,4,4,4,4,4,5,6,9,9,9,9,11,13,13,19,24,30,36,46,48,53,53,54,56,59,63,69,70,71,71,72,78,78,78,08/04/2020 23:30
Landau in der Pfalz,7313,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,6,8,8,18,18,19,29,32,35,35,38,43,46,47,48,48,51,51,55,55,08/04/2020 14:00
Ludwigshafen am Rhein,7314,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,10,12,13,17,17,20,25,35,48,52,54,54,82,86,91,97,117,117,126,139,149,149,149,08/04/2020 0:00
Mainz,7315,1,1,1,1,1,2,2,2,3,4,11,11,16,19,28,35,45,55,62,81,82,90,99,115,125,144,180,182,187,196,212,222,238,249,266,278,301,301,08/04/2020 0:00
Neustadt an der Weinstraße,7316,0,0,0,0,0,0,1,1,1,1,1,4,4,5,5,7,8,8,10,10,11,40,40,42,45,45,50,54,57,59,64,65,67,71,75,77,79,79,08/04/2020 12:23
Pirmasens,7317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,7,11,12,12,12,15,15,15,17,19,19,23,23,23,23,23,23,08/04/2020 15:55
Speyer,7318,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,5,8,9,9,9,13,17,17,20,22,22,22,30,32,32,38,38,38,38,40,41,44,44,08/04/2020 15:55
Worms,7319,0,0,0,0,0,0,0,0,0,0,1,1,2,2,14,16,22,22,30,30,37,47,50,55,59,67,67,71,76,81,84,93,109,111,111,117,124,124,08/04/2020 0:00
Zweibrücken,7320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,4,5,9,9,9,11,12,15,21,22,26,26,26,27,27,27,08/04/2020 15:55
Alzey-Worms,7331,0,0,0,0,0,0,0,0,0,0,2,2,8,8,23,24,41,48,55,55,55,60,63,70,75,80,84,85,88,93,96,102,107,107,107,110,120,120,08/04/2020 16:00
Bad Dürkheim,7332,1,1,1,1,3,3,3,4,4,6,7,13,15,18,19,35,48,56,72,83,99,110,111,117,136,146,160,162,170,179,189,200,207,220,222,230,234,234,08/04/2020 12:22
Donnersbergkreis,7333,0,0,0,0,0,0,0,0,0,1,2,2,2,7,11,12,13,24,28,29,31,35,47,50,52,53,58,58,62,64,67,68,70,71,73,75,78,83,09/04/2020 15:20
Germersheim,7334,1,1,1,1,1,1,1,1,1,2,4,4,4,8,10,20,24,27,27,27,27,37,42,45,51,56,61,62,68,77,84,89,89,91,100,102,107,107,08/04/2020 15:00
Kaiserslautern,7335,0,0,0,0,0,0,2,3,3,3,3,5,5,11,13,13,13,20,28,36,41,48,52,54,59,61,61,69,74,78,80,80,82,82,80,87,87,87,08/04/2020 23:30
Kusel,7336,0,0,0,0,0,0,0,0,0,0,1,13,13,14,14,18,18,18,19,21,23,25,30,31,35,35,45,45,46,52,54,60,60,64,64,68,69,69,08/04/2020 16:00
Südliche Weinstraße,7337,0,0,0,0,0,0,0,0,1,1,1,1,1,9,19,21,28,28,33,34,34,39,39,47,60,66,74,79,85,95,105,111,115,115,120,122,124,124,08/04/2020 14:00
Rhein-Pfalz-Kreis,7338,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,7,10,10,10,27,39,44,57,67,67,67,105,113,121,139,142,142,142,158,159,167,167,08/04/2020 15:55
Mainz-Bingen,7339,0,0,1,1,1,1,1,2,3,3,10,18,18,18,20,24,30,37,47,54,57,65,76,84,91,103,113,115,117,150,175,191,206,211,223,227,242,242,08/04/2020 0:00
Südwestpfalz,7340,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,11,12,16,17,20,24,30,33,38,41,46,49,55,60,68,76,75,76,78,79,79,08/04/2020 15:55
Stuttgart,8111,2,2,3,4,8,9,10,19,27,35,55,80,150,284,284,284,324,341,341,430,441,451,504,565,635,685,708,788,864,908,940,983,1006,1024,1024,1075,1113,1159,09/04/2020 13:00
Böblingen,8115,1,1,1,3,3,3,3,4,4,4,7,9,9,9,66,66,105,125,182,239,255,318,351,398,450,473,473,596,613,664,695,798,821,1001,1028,1013,1042,1094,09/04/2020 0:00
Esslingen,8116,5,5,13,14,16,16,18,23,40,47,65,82,119,123,206,206,234,360,360,362,435,462,493,596,648,705,737,761,833,946,1012,1071,1117,1117,1168,1198,1256,1298,09/04/2020 0:00
Göppingen,8117,2,2,2,2,3,3,3,4,4,21,32,32,57,61,64,81,101,110,110,185,193,204,237,264,298,331,365,388,401,450,485,503,520,541,544,551,578,600,09/04/2020 15:36
Ludwigsburg,8118,3,3,3,5,7,7,8,11,12,18,24,39,39,39,87,112,126,175,190,236,282,351,418,507,594,642,682,723,746,835,904,977,1056,1072,1088,1129,1179,1233,09/04/2020 0:00
Rems-Murr-Kreis,8119,2,2,2,4,4,5,5,6,6,22,26,26,42,49,54,68,110,117,133,175,202,211,240,286,353,374,445,506,519,555,595,688,744,771,809,835,873,915,08/04/2020 12:30
Heilbronn,8121,2,2,2,3,3,3,3,3,3,3,3,4,4,4,9,13,19,20,20,28,55,60,71,81,104,122,124,147,168,168,220,220,265,274,274,277,285,285,08/04/2020 16:00
Heilbronn,8125,10,10,10,14,20,20,26,26,30,32,38,38,47,50,57,113,113,135,140,187,197,212,236,279,331,342,365,390,427,435,484,485,521,521,541,555,579,579,08/04/2020 16:00
Hohenlohekreis,8126,0,0,1,1,1,1,2,2,6,9,25,29,54,54,151,167,178,182,222,222,257,278,278,302,350,404,421,453,453,478,508,537,549,557,583,594,600,600,08/04/2020 16:00
Schwäbisch Hall,8127,0,0,0,0,0,0,1,1,1,15,22,22,22,35,48,62,62,98,98,111,145,201,201,311,347,347,406,437,476,532,582,627,627,686,722,737,777,777,08/04/2020 0:00
Main-Tauber-Kreis,8128,1,1,1,2,23,23,24,24,25,31,32,33,33,33,34,36,39,43,57,58,60,63,70,78,97,119,119,120,141,175,182,198,233,237,250,252,262,262,08/04/2020 0:00
Heidenheim,8135,1,1,1,1,3,3,3,3,3,8,14,19,21,21,31,37,40,50,59,62,62,79,129,163,169,172,178,178,218,227,254,263,280,287,291,309,317,317,08/04/2020 16:55
Ostalbkreis,8136,3,3,3,3,3,3,4,4,5,12,20,27,45,52,96,109,123,138,138,180,201,249,294,348,390,422,468,494,514,560,601,629,644,662,682,694,733,733,08/04/2020 16:55
Baden-Baden,8211,0,0,0,0,1,1,1,1,2,3,3,4,5,7,12,14,19,21,23,27,33,36,36,39,47,64,69,73,84,91,96,101,110,110,113,114,125,133,09/04/2020 15:36
Karlsruhe,8212,1,1,1,1,3,3,3,3,3,8,8,14,14,25,31,43,55,57,60,71,80,94,106,111,131,144,152,161,163,178,197,206,228,238,245,256,270,279,09/04/2020 11:13
Karlsruhe,8215,0,0,1,2,4,4,5,9,13,16,16,29,29,43,56,77,99,151,171,186,188,203,227,252,282,308,353,365,373,410,452,484,621,640,657,669,686,704,09/04/2020 11:13
Rastatt,8216,0,0,0,0,2,3,3,4,4,13,16,16,26,36,39,58,69,83,96,110,149,158,182,196,230,249,269,279,288,307,331,345,360,371,376,379,396,406,09/04/2020 15:38
Heidelberg,8221,2,2,2,2,5,5,5,5,5,9,13,21,22,34,41,47,57,66,80,104,108,111,118,122,133,143,155,171,186,195,213,226,232,234,243,273,254,254,08/04/2020 16:00
Mannheim,8222,4,4,4,5,7,7,9,9,13,14,28,37,44,64,72,79,88,102,116,128,147,157,168,179,196,196,218,226,236,251,267,288,294,319,326,342,352,352,08/04/2020 0:00
Neckar-Odenwald-Kreis,8225,0,0,0,1,1,1,1,2,2,3,7,7,10,10,13,19,24,30,35,39,39,45,50,63,72,80,88,91,101,111,120,134,146,148,149,158,172,179,09/04/2020 0:00
Rhein-Neckar-Kreis,8226,2,2,3,4,7,10,13,14,19,28,33,52,70,77,109,127,154,182,240,276,276,330,371,413,460,489,521,564,591,625,654,703,703,713,726,739,745,753,09/04/2020 0:00
Pforzheim,8231,0,0,0,0,0,0,0,0,3,4,4,4,6,6,7,7,11,19,19,21,22,23,23,25,25,29,37,40,47,57,65,66,69,74,74,89,92,100,09/04/2020 20:25
Calw,8235,0,0,0,1,1,1,3,6,7,12,15,34,43,43,58,77,92,113,132,150,159,183,211,231,265,284,304,315,340,355,386,417,432,444,449,464,471,497,09/04/2020 19:00
Enzkreis,8236,0,0,0,0,1,1,1,1,2,5,5,9,9,9,11,12,21,30,33,34,41,46,55,58,58,77,110,115,125,142,151,168,198,202,163,209,234,234,08/04/2020 16:00
Freudenstadt,8237,0,0,0,0,0,0,0,1,1,2,2,3,10,10,12,14,14,16,33,65,65,72,75,116,125,149,161,177,186,196,218,222,253,276,288,298,344,390,09/04/2020 15:36
Freiburg im Breisgau,8311,6,6,8,8,8,8,12,12,15,18,34,38,53,53,64,86,121,158,195,195,226,230,248,285,333,386,402,426,457,502,562,608,657,684,690,704,757,795,09/04/2020 11:49
Breisgau-Hochschwarzwald,8315,4,4,4,4,5,5,6,6,11,19,36,40,46,50,64,89,126,145,173,173,199,199,235,266,280,378,389,415,453,507,566,614,664,706,708,708,779,774,09/04/2020 11:49
Emmendingen,8316,0,0,1,1,3,12,13,13,15,17,21,21,36,43,60,69,100,110,122,123,141,154,171,178,191,233,244,264,287,321,350,369,398,401,407,423,439,446,09/04/2020 0:00
Ortenaukreis,8317,0,0,0,2,6,7,12,12,17,17,24,24,25,43,49,60,76,82,92,110,122,135,164,180,214,272,304,327,366,401,483,550,597,624,640,655,691,691,07/04/2020 0:00
Rottweil,8325,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,5,8,8,8,17,17,50,86,98,108,128,138,152,161,189,233,257,289,302,317,325,325,08/04/2020 16:00
Schwarzwald-Baar-Kreis,8326,0,0,0,0,1,1,1,1,2,4,7,7,16,16,27,29,40,43,67,76,80,103,123,133,153,170,175,187,201,209,254,284,301,306,319,323,336,347,09/04/2020 0:00
Tuttlingen,8327,0,0,0,0,0,0,0,0,0,0,3,4,5,5,7,7,10,13,13,15,15,32,40,74,85,111,137,163,181,193,212,253,286,299,318,322,336,336,08/04/2020 14:00
Konstanz,8335,0,0,0,0,1,1,1,1,2,10,23,28,28,36,45,45,62,69,84,84,91,95,110,118,136,145,145,185,203,234,247,262,267,267,307,327,336,360,09/04/2020 15:42
Lörrach,8336,1,1,1,1,1,1,1,1,1,5,10,13,15,19,27,49,63,81,95,99,117,137,153,163,170,207,215,230,274,317,339,360,389,396,406,413,428,428,08/04/2020 0:00
Waldshut,8337,0,0,0,0,0,0,0,0,0,2,4,5,6,6,8,17,20,28,32,36,53,60,61,70,73,89,91,109,114,132,138,161,184,190,193,202,218,218,08/04/2020 16:00
Reutlingen,8415,0,0,0,0,0,0,0,1,5,11,13,19,30,34,43,49,71,96,96,96,127,152,172,206,235,249,249,374,433,472,557,591,666,681,711,751,776,831,09/04/2020 0:00
Tübingen,8416,2,2,2,2,2,2,3,5,5,16,35,43,70,80,101,113,126,144,144,144,191,300,479,524,591,650,671,702,760,807,807,902,939,980,990,1031,1069,1076,09/04/2020 19:40
Zollernalbkreis,8417,2,2,10,11,11,11,11,15,19,21,21,21,21,33,51,60,70,76,76,76,151,162,219,256,271,336,346,349,419,452,480,502,549,567,569,617,638,638,08/04/2020 17:30
Ulm,8421,4,4,4,4,4,4,5,6,6,6,9,9,12,13,19,33,46,50,50,60,62,78,94,100,105,105,116,123,137,146,163,169,183,183,196,199,202,206,09/04/2020 17:00
Alb-Donau-Kreis,8425,2,2,2,2,3,3,3,3,6,8,8,11,12,13,26,35,43,57,57,64,67,99,121,164,197,197,226,246,267,285,314,343,366,366,387,390,411,418,09/04/2020 17:00
Biberach,8426,0,0,0,1,3,3,3,3,3,4,11,12,12,12,38,45,55,55,55,73,74,111,154,187,200,212,225,226,243,260,285,307,323,338,342,361,375,375,08/04/2020 14:00
Bodenseekreis,8435,1,1,3,4,4,4,4,5,8,12,18,31,33,35,48,66,75,75,89,89,100,131,170,172,186,192,196,196,210,218,225,231,236,238,238,246,257,258,09/04/2020 16:00
Ravensburg,8436,0,0,1,2,2,3,3,6,8,11,18,18,50,50,70,93,102,110,110,134,137,202,274,296,320,334,336,336,365,384,390,406,406,417,420,444,455,455,08/04/2020 17:17
Sigmaringen,8437,1,1,1,1,1,1,1,3,3,4,6,9,12,28,37,48,58,74,89,90,104,128,163,207,262,302,310,318,346,396,472,480,498,517,541,553,576,576,-
Ingolstadt,9161,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,4,4,5,5,12,14,27,29,46,76,79,80,96,108,114,163,188,205,215,250,272,272,08/04/2020 0:00
München,9162,15,15,16,26,26,57,61,62,65,98,149,201,242,260,359,509,676,878,1042,1042,1316,1381,1576,1687,1845,2080,2256,2501,2699,2926,3099,3304,3449,3642,3794,3884,4003,4123,09/04/2020 0:00
Rosenheim,9163,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,10,15,18,33,43,48,49,53,88,101,111,128,140,146,172,208,223,228,245,198,198,218,218,08/04/2020 8:00
Altötting,9171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,18,18,27,44,52,64,81,95,101,106,125,140,176,203,231,255,272,276,311,367,367,08/04/2020 15:00
Berchtesgadener Land,9172,0,0,0,0,0,0,0,0,0,0,4,4,4,9,9,13,19,25,28,31,39,41,48,60,64,68,76,80,96,108,130,140,155,165,169,186,214,214,08/04/2020 18:40
Bad Tölz-Wolfratshausen,9173,0,0,0,0,0,0,0,0,1,2,5,6,10,10,11,11,21,31,38,49,63,74,75,120,126,135,142,160,177,183,228,237,261,266,272,288,308,308,08/04/2020 10:00
Dachau,9174,0,0,0,0,0,3,3,3,5,6,7,10,10,18,18,35,55,63,63,105,111,128,174,220,249,249,290,294,336,373,378,457,457,500,514,555,587,606,09/04/2020 18:07
Ebersberg,9175,1,1,1,4,7,7,11,13,13,13,19,21,22,27,29,34,39,42,52,52,52,72,88,117,133,150,168,176,192,208,224,242,265,282,284,292,298,310,09/04/2020 10:00
Eichstätt,9176,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,6,6,13,24,24,30,32,38,47,53,53,73,81,93,97,100,112,122,120,134,141,152,152,08/04/2020 10:00
Erding,9177,1,1,1,1,2,2,2,2,3,3,10,11,11,28,28,31,54,70,70,109,129,143,178,210,213,245,297,316,327,350,373,401,401,420,424,442,468,468,08/04/2020 18:20
Freising,9178,14,14,17,20,22,28,31,51,51,56,56,73,74,87,93,122,145,164,174,218,229,252,296,326,360,397,433,445,485,521,581,616,643,678,674,695,748,748,08/04/2020 10:00
Fürstenfeldbruck,9179,0,0,0,0,0,0,3,4,4,6,6,15,18,22,22,23,24,36,51,51,51,94,110,250,275,275,275,320,329,359,474,512,512,512,522,612,612,612,07/04/2020 0:00
Garmisch-Partenkirchen,9180,0,0,0,0,0,1,1,1,2,2,2,3,3,3,14,20,20,38,42,42,43,46,70,79,89,89,113,115,126,133,137,145,179,182,183,196,197,197,07/04/2020 15:00
Landsberg am Lech,9181,0,0,0,0,0,0,2,2,2,3,3,3,4,5,10,14,14,18,24,44,48,51,55,98,109,110,124,136,138,156,163,175,206,217,223,236,254,271,09/04/2020 10:00
Miesbach,9182,2,2,2,3,4,4,5,5,6,6,13,13,15,15,32,44,57,58,61,108,156,171,185,217,240,268,288,301,316,338,354,364,397,397,418,424,437,437,08/04/2020 18:25
Mühldorf a. Inn,9183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,16,20,38,41,56,67,77,93,125,136,157,161,180,217,246,271,281,285,313,328,346,09/04/2020 15:00
München,9184,0,0,3,3,7,7,14,14,15,25,32,32,38,75,75,103,134,200,219,246,279,327,373,429,462,539,561,574,626,675,735,783,849,893,904,931,963,994,09/04/2020 0:00
Neuburg-Schrobenhausen,9185,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,9,22,28,28,32,40,44,56,59,62,69,77,89,100,107,116,121,124,128,133,154,154,08/04/2020 10:00
Pfaffenhofen a.d. Ilm,9186,0,0,0,0,0,1,1,2,3,7,7,7,7,10,11,16,19,22,30,32,32,32,40,54,56,74,100,107,115,131,151,168,183,200,211,221,242,242,08/04/2020 10:00
Rosenheim,9187,0,0,0,0,0,0,3,3,7,13,16,17,27,31,45,68,75,84,144,225,231,258,384,500,623,623,745,747,777,861,963,1078,1105,1172,1189,1189,1310,1310,08/04/2020 8:00
Starnberg,9188,11,11,12,12,13,14,14,18,20,28,35,35,42,47,50,50,62,69,83,97,110,153,210,223,233,262,270,297,302,354,371,385,403,408,417,422,431,431,08/04/2020 18:30
Traunstein,9189,3,3,3,3,3,3,4,4,4,8,8,8,10,13,13,19,20,34,50,63,80,86,120,145,158,199,222,251,271,315,347,385,455,466,491,519,566,566,08/04/2020 8:00
Weilheim-Schongau,9190,0,0,1,1,3,3,3,3,3,8,8,11,19,19,26,27,44,56,74,84,93,104,115,136,154,177,183,186,203,227,242,257,273,279,288,290,296,296,08/04/2020 10:00
Landshut,9261,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,12,24,24,32,38,38,42,71,81,81,91,93,118,131,136,147,153,163,160,161,184,201,09/04/2020 10:00
Passau,9262,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,5,6,7,7,16,16,22,24,27,37,39,45,52,55,57,78,78,90,90,94,98,98,08/04/2020 0:00
Straubing,9263,0,0,0,0,0,0,0,0,0,0,2,3,5,6,8,14,14,29,29,30,40,44,49,58,66,77,79,88,106,126,139,156,178,179,180,208,218,218,08/04/2020 18:00
Deggendorf,9271,0,0,0,0,0,0,0,1,1,1,1,6,10,10,21,22,27,35,45,52,59,61,76,90,100,111,113,116,122,131,137,145,151,154,157,166,171,171,08/04/2020 18:40
Freyung-Grafenau,9272,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,8,8,10,10,20,20,37,37,39,62,79,92,98,102,108,111,113,113,113,123,127,127,08/04/2020 15:00
Kelheim,9273,0,0,0,0,0,1,2,2,3,3,3,3,6,6,6,14,22,26,36,42,50,56,62,76,89,101,126,127,132,154,193,218,238,258,266,278,283,317,09/04/2020 18:25
Landshut,9274,0,0,0,0,0,0,0,1,1,1,2,12,25,25,25,29,36,73,73,118,121,121,174,200,200,206,240,255,276,317,345,362,368,403,413,421,457,481,09/04/2020 10:00
Passau,9275,1,1,1,1,1,1,3,3,3,5,5,7,15,15,15,19,22,23,30,30,39,47,47,73,93,112,112,117,120,136,173,212,239,262,267,272,280,311,09/04/2020 10:00
Regen,9276,0,0,0,0,0,0,0,0,0,0,3,6,6,18,18,20,20,23,24,25,25,25,34,39,40,40,40,43,44,54,60,70,79,89,95,104,104,118,09/04/2020 0:00
Rottal-Inn,9277,0,0,0,0,0,0,0,1,2,7,7,10,14,17,30,36,46,55,59,75,87,110,144,160,180,192,243,286,313,355,374,410,432,494,516,537,568,568,08/04/2020 0:00
Straubing-Bogen,9278,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,13,14,29,38,43,43,46,57,58,67,81,83,92,120,138,154,180,198,200,202,229,259,259,08/04/2020 10:00
Dingolfing-Landau,9279,0,0,0,0,0,1,1,1,3,5,7,8,13,13,14,17,18,22,31,35,40,41,53,61,75,77,89,94,96,98,98,112,126,126,138,141,144,144,08/04/2020 16:00
Amberg,9361,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,5,6,7,7,7,9,9,9,18,18,22,37,34,34,34,41,49,49,08/04/2020 0:00
Regensburg,9362,0,0,0,0,0,0,0,0,0,0,2,7,7,7,17,38,62,74,74,82,90,98,105,124,133,146,152,158,166,183,207,222,239,263,283,296,313,313,08/04/2020 10:00
Weiden i.d. OPf.,9363,0,0,0,0,0,0,0,0,0,3,4,7,7,7,7,7,7,7,7,20,20,22,31,40,47,55,61,64,70,77,93,109,125,136,142,143,154,154,08/04/2020 10:00
Amberg-Sulzbach,9371,0,0,1,1,3,3,3,3,3,3,4,7,7,7,15,15,17,18,18,27,27,31,36,44,47,56,56,56,83,84,101,137,142,142,142,184,253,253,08/04/2020 0:00
Cham,9372,0,0,0,0,2,5,8,8,11,17,19,20,21,21,23,29,31,40,47,68,73,75,95,103,120,141,141,165,185,192,236,243,261,267,292,307,321,321,08/04/2020 10:00
Neumarkt i.d. OPf.,9373,0,0,0,0,0,0,0,2,2,2,2,5,5,5,11,17,18,18,18,18,18,35,43,43,43,69,80,87,110,118,123,131,138,146,146,160,170,170,08/04/2020 10:00
Neustadt a.d. Waldnaab,9374,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,16,27,30,33,62,72,99,148,152,184,212,242,290,343,373,406,419,424,472,506,09/04/2020 10:00
Regensburg,9375,0,0,0,0,1,1,4,4,7,7,7,12,14,14,19,27,56,67,67,76,85,87,94,107,121,132,147,156,162,174,195,217,238,259,279,290,316,316,08/04/2020 10:00
Schwandorf,9376,0,0,0,0,0,1,1,1,2,5,7,7,7,12,15,17,23,24,32,39,43,57,68,74,76,92,114,123,134,176,191,219,251,255,263,282,303,303,08/04/2020 8:00
Tirschenreuth,9377,0,0,0,0,0,0,0,0,1,3,5,10,17,30,40,47,47,77,77,182,182,202,236,259,323,397,398,454,504,579,665,702,762,762,814,873,895,895,08/04/2020 18:30
Bamberg,9461,0,0,0,0,0,0,0,0,0,0,0,3,4,4,9,11,21,25,26,30,30,34,39,55,65,67,67,70,80,83,90,93,93,102,118,122,127,133,09/04/2020 0:00
Bayreuth,9462,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,7,7,7,7,7,9,19,53,56,56,56,51,55,62,88,105,105,105,95,104,113,130,09/04/2020 10:00
Coburg,9463,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,6,8,10,10,10,14,15,17,20,23,23,24,25,26,29,31,32,32,36,38,38,08/04/2020 20:25
Hof,9464,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,5,9,9,10,11,11,11,15,19,23,24,26,33,39,43,48,48,51,60,60,64,65,65,08/04/2020 8:00
Bamberg,9471,0,0,0,0,0,0,0,0,0,1,4,7,9,9,10,16,41,41,41,48,53,75,107,138,151,161,161,174,182,205,229,237,248,280,280,304,314,324,09/04/2020 10:00
Bayreuth,9472,2,2,2,2,2,2,2,4,4,4,5,6,6,6,6,9,13,21,23,26,38,56,60,85,101,101,112,129,136,142,167,190,190,190,212,232,253,253,08/04/2020 12:04
Coburg,9473,0,0,0,0,0,0,0,0,0,1,1,3,3,6,6,10,13,19,22,22,23,27,33,36,38,46,50,51,54,62,67,73,79,84,85,88,103,103,08/04/2020 0:00
Forchheim,9474,0,0,0,0,0,0,0,0,0,1,4,4,4,4,8,8,14,18,19,19,25,40,45,59,73,73,78,86,86,98,122,134,134,148,149,156,158,158,08/04/2020 15:00
